"","nobs","nsim","cr1w","cr1u","sel.cri","lm","heck.noinst","heck.inst"
"160",8200,40,0,0,0,-0.180488729417574,0.0505496134782368,0.00728482711768752
"161",500,41,0,0,0,-0.148815327796941,0.0707514064224717,0.0645009777084229
"162",1100,41,0,0,0,-0.23118648558228,-0.025459460524126,-0.0307671970904884
"163",3000,41,0,0,0,-0.209697837339394,-0.0564858236500497,-0.0246402980314716
"164",8200,41,0,0,0,-0.194776299502141,0.0252230852200015,-0.0139836821115109
"165",500,42,0,0,0,-0.133808114118026,-0.0200900010699652,0.0667315857907806
"166",1100,42,0,0,0,-0.206359255603757,-0.01850444612919,0.00284676862473821
"167",3000,42,0,0,0,-0.227634880426265,-0.124038591775904,-0.0713320552118424
"168",8200,42,0,0,0,-0.188267170524438,-0.0182495501856534,-0.00161739941765016
"169",500,43,0,0,0,-0.163861019356002,-0.323435279151626,-0.0185855306735747
"170",1100,43,0,0,0,-0.180384098282662,-0.0895614345930856,0.00415982907282642
"171",3000,43,0,0,0,-0.141762709665222,0.0244663806689935,0.0293449462216406
"172",8200,43,0,0,0,-0.169750539709758,-0.0066181841322106,0.0100148737952976
"173",500,44,0,0,0,-0.251043488685046,-0.194745195017148,-0.117234919948015
"174",1100,44,0,0,0,-0.171483481090143,0.0850635953448129,-0.0185265636246794
"175",3000,44,0,0,0,-0.212086436287116,-0.0770990106890572,-0.0305232557244388
"176",8200,44,0,0,0,-0.166875242042888,-0.0109392152499893,0.0170574945574535
"177",500,45,0,0,0,-0.149638511297616,-0.252648323574342,-0.0212170964025178
"178",1100,45,0,0,0,-0.191202338093156,0.0624062702126602,0.00377577746213142
"179",3000,45,0,0,0,-0.120015367206467,0.0651492903706816,0.0529981976345097
"180",8200,45,0,0,0,-0.176063599439014,0.0047028808531433,0.0118802332893166
"181",500,46,0,0,0,-0.184563368117594,-0.020768885899724,0.0113114375350776
"182",1100,46,0,0,0,-0.188266048025865,0.0348831763516968,-0.0212572649202205
"183",3000,46,0,0,0,-0.216997143934605,-0.0407034045952389,-0.0149527114470611
"184",8200,46,0,0,0,-0.18566797193571,-0.00253379577656654,-0.00500070138092479
"185",500,47,0,0,0,-0.0999230626659037,-0.148651069693704,-0.0326889723355387
"186",1100,47,0,0,0,-0.218111580672705,0.135474230996197,0.0159842032603965
"187",3000,47,0,0,0,-0.223368349507244,-0.0409492655528676,-0.0364553656767488
"188",8200,47,0,0,0,-0.191807464227122,-0.0182492078073963,0.000148939165319328
"189",500,48,0,0,0,-0.195727300880232,-0.213030897019892,-0.0195065469578627
"190",1100,48,0,0,0,-0.19188313147909,0.0430456411030919,0.0590807562578681
"191",3000,48,0,0,0,-0.166364264331195,0.0614741408357302,-0.00852548806556019
"192",8200,48,0,0,0,-0.176562232879522,0.00410415802694697,0.012679790373425
"193",500,49,0,0,0,-0.185232261005491,-0.0143141642920667,0.02635124698609
"194",1100,49,0,0,0,-0.180150594326366,-0.323465679313534,0.0512799320509283
"195",3000,49,0,0,0,-0.14875238500509,0.0037433760860659,0.027714129310032
"196",8200,49,0,0,0,-0.184093938194651,-0.0129123131267423,0.022703298186842
"197",500,50,0,0,0,-0.193037959842039,0.0954901224680944,-0.00298636657348428
"198",1100,50,0,0,0,-0.190115828546984,0.0312889880217941,0.0468911871760989
"199",3000,50,0,0,0,-0.207575878967616,-0.128223013008492,-0.0156686868891739
"200",8200,50,0,0,0,-0.177889918370502,0.0226135955100351,0.0308733939747734
"201",500,51,0,0,0,-0.0734054940624874,0.186913420521601,0.0894692915684454
"202",1100,51,0,0,0,-0.203518601877155,-0.0210760967213715,-0.0416195328292537
"203",3000,51,0,0,0,-0.141228173978809,0.135673158137843,0.0694571765041192
"204",8200,51,0,0,0,-0.187827160016299,0.0337980231248134,-0.0131934664775104
"205",500,52,0,0,0,-0.296480311583603,-0.420297584248714,-0.0236757854863268
"206",1100,52,0,0,0,-0.208970155507707,0.0943617522787903,0.0152876715387118
"207",3000,52,0,0,0,-0.215867529395088,0.0172788449441064,-0.0344815729890802
"208",8200,52,0,0,0,-0.196838885356488,0.0213428080801541,-0.0121668206643654
